occupation_item_id	count	text_data	context	class_type
501672	1	Kenpo	martial art	occupation
749387	131	paratrooper	military parachutists functioning as part of an airborne force	occupation
76451240	67	fictional pirate	pirate only appearing in works of fiction	occupation
157195	75	waiter	staff serving in restaurant or private homes	occupation
28947943	74	miniature painter	painter of miniatures	occupation
21081635	55	ocean rower	adventurer, who crosses oceans with a rowing boat	occupation
1069681	1	Chen-style t'ai chi ch'uan		occupation
13415036	355	rugby player	sportsperson taking part in rugby competitions	occupation
17305523	10	optical engineer		occupation
569205	1	rally raid	form of long distance off-road racing	occupation
215279	66	freelancer	profession	occupation
1294133	168	director of church music		occupation
2865798	437	glass artist	one who practises glass arts	occupation
1339677	75	scout	professional employed by a sports team to analyze the performance of athletes outside the team	occupation
1235146	891	documentary filmmaker	director of documentary films	occupation
651267	21	Tulku	honorary title in Tibetan Buddhism	occupation
1436011	16	Oberkirchenrat	a senior church council member in German-speaking protestant churches	occupation
18926350	410	agricultural engineer		occupation
51844772	69	Shamisen player		occupation
2029941	64	organizer	person specializing in planning and execution of parties, events, exhibitions, meetings, conventions, weddings and other things	occupation
623279	61	chief operating officer	executive position	occupation
13424814	14	Wali		occupation
663272	51	expert witness	witness who is believed to have expertise and specialised knowledge in a particular subject beyond that of the average person	occupation
12360779	254	demographer	person specialized in demography	occupation
21292974	163	production manager	film industry profession	occupation
1472392	6	Perpetual count	position	occupation
12358881	203	phycologist	scientist specializing in the study of algae	occupation
15811629	27	Generalstabsoffizier		occupation
207241	4	applied arts	branch in the production of consumer goods	occupation
17176963	98	Dacoity	"term used for ""banditry"" in the Indian subcontinent"	occupation
64048964	10	folk artist	person creating folk art	occupation
4887411	92	benefactor	person who gives some form of help to benefit a person, group or organization (the beneficiary)	occupation
10860242	20	bouncer	type of security guard	occupation
63755524	229	permanent politician		occupation
76450698	62	fictional journalist	journalist only appearing in works of fiction	occupation
21550489	45	conceptual artist	artist involved with conceptual arts	occupation
332209	160	lord	appellation for a person or deity who has authority, control, or power over others acting like a master, a chief, or a ruler	occupation
1096316	16	personal assistant	profession	occupation
811111	24	construction officer	German civil servant position	occupation
27658988	270	reality television participant	person who participates in reality television	occupation
20664817	1	detective novel	literary genre	occupation
62974259	23	rock drummer	drummer that plays rock	occupation
6010	1	rapping	vocal technique used with spoken or chanted rhyming lyrics	occupation
1430377	22	property master	theatrical technician	occupation
26869174	148	grass skiing competitor		occupation
27947380	18	metallurgical engineer	profession, occupation	occupation
758225	111	attorney at law	professional title for lawyers in some jurisdictions	occupation
806805	256	bank teller	employee of a bank who deals directly with most customers	occupation
64355059	13	jazz saxophonist	musician who play various types of saxophones (alto saxophone, tenor saxophone, baritone saxophone etc.) in jazz and its associated subgenres	occupation
9344260	227	associate professor	academic rank	occupation
16743941	9	metaphysician		occupation
148401	230	magician in fantasy	magicians appearing in fantasy fiction	occupation
67135648	4	mimographer	author of mimes	occupation
18523854	14	stage management	practice of organizing and coordinating a theatrical production	occupation
4110598	344	video blogger	blogger with video films	occupation
1647775	31	cryptanalyst	person who breaks codes	occupation
1368409	84	breeder	profession	occupation
9397505	44	Confucian scholar		occupation
1998748	9	Zen master		occupation
26876987	171	carom billiards player	sportsperson playing carom billiards	occupation
21772571	14	geometer	mathematician who studies geometry	occupation
17010072	82	militant		occupation
2540672	2	pacemaker	person operating a pace vehicle in racing	occupation
16030727	210	orthopedic surgeon	occupation	occupation
2295938	29	furrier	person who makes or sells clothing and other articles from fur and animal skins	occupation
16153191	52	witch in fantasy fiction and games	witch appering in fictional stories	occupation
10855616	59	army surgeon	profession	occupation
16611554	103	social psychologist		occupation
43115	60	saint	one who has been recognized for having an exceptional degree of holiness, sanctity, and virtue	occupation
1077786	5	Palatine of Hungary	highest-ranking official in the Kingdom of Hungary from the beginning of the 11th century to 1848	occupation
713710	2	master of the treasury		occupation
3133901	97	herbalist	someone who collecting plants with leaves, seeds, or flowers used for flavoring, food, medicine, or perfume	occupation
15284879	123	plasterer	profession	occupation
19382184	101	furniture maker	profession; joiner making furniture	occupation
179985	150	actuary	business professional who deals with the financial impact of risk and uncertainty	occupation
705818	2	unfree labour	work people are employed in against their will	occupation
3074722	37	recorder player	musician who plays the recorder	occupation
30096463	7	addictologist	a non-medical healthcare professional who specializes in addictology (addiction science)	occupation
1623108	24	court gardner	position, combination of gardener and landscape architect	occupation
21329070	176	materials scientist	person who studies materials	occupation
18351723	18	American Sociological Association Distinguished Scholarly Book Award		occupation
21584816	80	talmudist	scholar of the Talmud	occupation
29017275	12			occupation
694748	249	physiotherapist	primary care specialty in western medicine that remediates impairments and promotes mobility, function, and quality of life through examination	occupation
26986313	9	executive vice president		occupation
684172	6	Raja	monarch or princely ruler	occupation
39020492	20	broadcasting director		occupation
47013420	3	assistant district attorney	position under the district attorney	occupation
459426	2	animal welfare	the well-being of (non-human) animals	occupation
1109454	2	Chief Justice of Hungary	position	occupation
838566	71	metalsmith	craftsman fashioning tools or works of art out of various metals	occupation
11442656	33	amateur astronomer	occupation	occupation
16062258	28	remedial teacher		occupation
1144892	53	patent attorney	advises and represents clients in the field of intellectual property and patent law	occupation
579021	121	perfumer	expert on creating perfume compositions	occupation
65124861	1	labour inspector		occupation
